Prob(a=0),Prob(a=1)
0.48554504,0.51445496
0.4974183,0.5025818
0.48590392,0.5140961
0.49782053,0.50217944
0.48636866,0.51363134
0.47659355,0.52340645
0.4867223,0.51327777
0.47693557,0.5230645
0.48698816,0.5130119
0.4989681,0.5010319
0.5121054,0.48789462
0.52288985,0.4771102
0.513867,0.486133
0.50080174,0.49919835
0.49008682,0.5099132
0.5019842,0.49801585
0.5168772,0.48312286
0.5037199,0.49628
0.5190799,0.48092002
0.50592214,0.49407783
0.4950672,0.5049327
0.4843788,0.5156211
0.47837713,0.52162284
0.48316768,0.51683235
0.4879608,0.5120392
0.48897535,0.51102465
0.48989964,0.5101003
0.48353103,0.51646894
0.47941232,0.52058774
0.48970458,0.5102954
0.50269324,0.4973068
0.49157006,0.5084299
0.5046273,0.49537277
0.49376577,0.5062342
0.48348793,0.51651204
0.49583563,0.50416434
0.48559874,0.5144012
0.49812478,0.5018753
0.5099983,0.49000174
0.50097513,0.49902484
0.4912467,0.5087533
0.48253495,0.5174651
0.49411723,0.5058828
0.4851538,0.5148462
0.48484817,0.5151518
0.49301186,0.50698817
0.5065016,0.4934984
0.5167727,0.48322728
0.52378005,0.47621998
0.531078,0.46892208
0.529645,0.470355
0.5376592,0.4623407
0.5354611,0.4645389
0.5432732,0.45672682
0.5415505,0.4584495
0.5347941,0.46520594
0.5471114,0.4528887
0.55445576,0.4455443
0.5601355,0.43986452
0.56532675,0.43467328
0.5725496,0.42745045
0.5739556,0.42604446
0.4842784,0.5157216
0.47430792,0.52569205
0.48433596,0.51566404
0.49627447,0.5037255
0.50935733,0.49064273
0.52053523,0.4794648
0.510778,0.48922205
0.52190804,0.47809193
0.52753,0.47247005
0.5308392,0.4691608
0.53477937,0.4652206
0.53394204,0.46605787
0.5323896,0.46761042
0.48582688,0.51417303
0.47650596,0.523494
0.48631096,0.513689
0.47688523,0.5231148
0.48323286,0.5167671
0.47735408,0.5226459
0.48372445,0.5162756
0.4874566,0.51254344
0.4846654,0.51533467
0.48885396,0.51114607
0.48577037,0.51422966
0.47944614,0.5205539
0.48329404,0.516706
0.47991288,0.5200871
0.48172402,0.518276
0.49281713,0.50718284
0.48011732,0.5198827
0.48102644,0.5189735
0.47822964,0.5217704
0.48174417,0.51825583
0.48766038,0.51233965
0.48294818,0.5170518
0.4884726,0.51152736
0.49239972,0.5076003
0.48962945,0.5103705
0.4862428,0.5137571
0.48675618,0.5132439
0.49924824,0.50075173
0.4868366,0.5131633
0.4993607,0.50063926
0.4870185,0.5129815
0.49958238,0.5004176
0.51344687,0.48655307
0.5262108,0.47378927
0.5342557,0.46574426
0.5284085,0.47159144
0.5177284,0.48227164
0.5037253,0.49627474
0.5203364,0.47966367
0.50660414,0.4933958
0.49517727,0.50482273
0.482246,0.517754
0.49791595,0.5020841
0.48593265,0.51406735
0.478409,0.52159107
0.48925096,0.510749
0.5026909,0.49730906
0.5191935,0.48080647
0.50592995,0.49407002
0.52160823,0.47839183
0.5101075,0.4898925
0.52447724,0.47552273
0.48851457,0.5114854
0.5011476,0.49885237
0.48907903,0.51092094
0.47740462,0.5225954
0.48952916,0.5104708
0.5022557,0.49774426
0.5167397,0.48326024
0.5289272,0.47107276
0.51863945,0.48136055
0.5304332,0.46956673
0.521229,0.47877094
0.50724244,0.4927575
0.523677,0.47632298
0.5334531,0.46654692
0.5389706,0.46102938
0.53630656,0.46369344
0.53006715,0.46993288
0.48587745,0.5141225
0.4988256,0.5011744
0.48588896,0.51411104
0.49884444,0.5011556
0.5125428,0.48745725
0.5236954,0.47630453
0.513309,0.486691
0.5251756,0.47482446
0.5327349,0.4672652
0.5273018,0.47269818
0.534419,0.46558103
0.5296172,0.47038275
0.53665304,0.463347
0.53257984,0.46742016
0.53918403,0.46081597
0.48800227,0.5119977
0.47905266,0.5209473
0.4874436,0.51255643
0.50004953,0.4999505
0.5133885,0.4866115
0.52487016,0.4751299
0.51340413,0.48659584
0.5000306,0.49996942
0.5138502,0.48614973
0.52703303,0.47296694
0.53455025,0.46544978
0.529325,0.47067502
0.53610647,0.46389356
0.5404985,0.45950153
0.5381284,0.46187162
0.53423125,0.46576875
0.5402111,0.45978895
0.48772678,0.5122732
0.47817582,0.5218241
0.48810118,0.5118988
0.47840002,0.5216
0.48835838,0.5116417
0.50119096,0.49880895
0.51496005,0.4850399
0.5018006,0.49819937
0.4896558,0.51034427
0.47907576,0.52092427
0.4903278,0.5096721
0.47952121,0.5204788
0.49093542,0.5090646
0.48008108,0.5199189
0.48332402,0.516676
0.4859015,0.5140985
0.4879049,0.5120951
0.48754677,0.5124532
0.48547146,0.5145286
0.48866192,0.5113381
0.4921017,0.5078983
0.49823242,0.5017676
0.5034843,0.49651578
0.50849557,0.4915044
0.5125066,0.48749334
0.48947516,0.51052487
0.47704697,0.5229531
0.4893331,0.51066685
0.50259125,0.49740878
0.48932403,0.5106759
0.47687438,0.5231257
0.4789127,0.5210872
0.4769028,0.5230972
0.48854584,0.5114542
0.4765848,0.52341515
0.48788992,0.5121102
0.50100577,0.4989943
0.4873293,0.5126707
0.5004301,0.4995699
0.48684815,0.5131519
0.47557154,0.5244285
0.4861794,0.51382065
0.49921504,0.500785
0.5132281,0.48677182
0.49876407,0.5012359
0.51289356,0.48710647
0.49863577,0.5013642
0.48553383,0.5144661
0.47452366,0.52547634
0.47614577,0.5238542
0.47446778,0.52553225
0.48457217,0.5154279
0.47417423,0.5258258
0.47679043,0.5232096
0.4788184,0.5211816
0.47772557,0.5222744
0.47502172,0.5249783
0.47964042,0.5203596
0.47507352,0.5249264
0.47764468,0.5223554
0.48944268,0.51055735
0.47603908,0.523961
0.47504225,0.5249577
0.47332203,0.52667797
0.47385526,0.52614474
0.47511777,0.52488214
0.47285685,0.5271431
0.4696822,0.5303178
0.4704488,0.52955127
0.46775752,0.5322425
0.46721154,0.53278846
0.4876366,0.5123634
0.50080603,0.49919397
0.4874472,0.5125528
0.5006285,0.49937147
0.48735318,0.5126468
0.5005532,0.4994468
0.5145207,0.48547933
0.52782065,0.4721793
0.5371171,0.46288285
0.54274994,0.45725006
0.54859114,0.45140886
0.5454355,0.4545645
0.55191386,0.44808617
0.55785286,0.4421471
0.4898029,0.51019704
0.47903863,0.5209614
0.4890171,0.510983
0.4790374,0.52096254
0.48323107,0.51676893
0.48528966,0.5147104
0.48872578,0.5112743
0.48666963,0.5133304
0.4912255,0.50877446
0.48776397,0.512236
0.49332577,0.50667423
0.497518,0.50248206
0.48627535,0.5137246
0.49975666,0.50024337
0.48658207,0.51341796
0.50009733,0.49990264
0.4869943,0.5130057
0.47715956,0.52284044
0.4794325,0.5205675
0.48102453,0.5189755
0.48399112,0.51600885
0.48769265,0.5123073
0.49197608,0.50802386
0.49185297,0.508147
0.4969561,0.50304395
0.500111,0.49988896
0.4937972,0.50620276
0.48089954,0.5191004
0.4823137,0.5176863
0.48160827,0.5183917
0.48265216,0.51734775
0.48208782,0.5179121
0.48300993,0.5169901
0.48211986,0.5178801
0.49472582,0.5052742
0.4820354,0.51796454
0.4834997,0.51650035
0.48623306,0.51376694
0.48796606,0.51203394
0.49333054,0.50666946
0.49846366,0.50153637
0.50243086,0.49756908
0.50286573,0.49713427
0.5012235,0.49877656
0.48966968,0.5103303
0.5037858,0.49621424
0.4894611,0.51053894
0.47864336,0.5213567
0.48081556,0.51918447
0.47851667,0.52148324
0.48114085,0.51885915
0.47876224,0.52123773
0.48138297,0.518617
0.47922146,0.5207786
0.48488107,0.51511896
0.47942078,0.5205792
0.48204,0.51796
0.48407638,0.51592356
0.48759902,0.512401
0.4915383,0.5084617
0.48986766,0.5101323
0.49439442,0.5056056
0.4920376,0.5079624
0.48206505,0.51793504
0.4867235,0.5132766
0.4878022,0.5121978
0.48740575,0.51259434
0.48906457,0.5109354
0.49243936,0.50756055
0.4978141,0.50218594
0.49569872,0.50430137
0.4928544,0.5071456
0.498207,0.5017929
0.49511054,0.5048894
0.49264124,0.50735873
0.4809494,0.51905066
0.48502338,0.5149766
0.48556596,0.5144341
0.48770243,0.5122976
0.48753583,0.51246417
0.49015522,0.5098448
0.4955492,0.50445086
0.49334073,0.50665927
0.4986786,0.5013214
0.49644205,0.5035579
0.5014663,0.49853373
0.492374,0.50762606
0.50654525,0.4934547
0.5220362,0.4779638
0.50747997,0.49252003
0.49434674,0.50565326
0.5087161,0.4912839
0.49562702,0.504373
0.5101862,0.48981377
0.49712867,0.50287133
0.5120507,0.48794937
0.49891055,0.50108945
0.5139228,0.48607716
0.50094,0.49906006
0.51606697,0.483933
0.53158855,0.4684114
0.51881015,0.48118985
0.5057315,0.49426845
0.4935985,0.50640154
0.48358345,0.5164166
0.4964706,0.5035294
0.48484126,0.51515883
0.4821326,0.5178673
0.48665118,0.5133488
0.48761186,0.51238817
0.48793194,0.5120681
0.4845791,0.5154209
0.49111146,0.50888854
0.50620615,0.49379387
0.5206817,0.47931832
0.5095643,0.49043572
0.5234081,0.47659194
0.5132572,0.4867428
0.52724576,0.47275427
0.538892,0.461108
0.4917984,0.5082016
0.4800466,0.5199534
0.48309228,0.5169077
0.48464277,0.5153572
0.4873693,0.5126307
0.4858724,0.5141276
0.48448542,0.5155145
0.4863689,0.51363105
0.4852161,0.5147839
0.48266068,0.51733935
0.4853607,0.51463926
0.4831549,0.5168451
0.4928946,0.5071054
0.4813426,0.5186574
0.4850688,0.51493126
0.48605803,0.51394194
0.48855314,0.51144683
0.4876898,0.51231027
0.49104494,0.508955
0.48902255,0.5109775
0.48730433,0.51269567
0.48364472,0.5163553
0.4827558,0.5172442
0.4845466,0.5154534
0.48132074,0.5186792
0.49059805,0.509402
0.4807328,0.51926726
0.4862492,0.5137508
0.4805041,0.5194959
0.4828634,0.51713663
0.48377866,0.5162214
0.49512154,0.50487846
0.5101403,0.48985973
0.52624124,0.47375876
0.5114163,0.48858374
0.5280248,0.4719752
0.5130128,0.48698714
0.5301424,0.46985757
0.54271233,0.4572877
0.5332662,0.4667338
0.5181789,0.48182112
0.5360555,0.4639445
0.52166456,0.47833547
0.50887066,0.4911293
0.5260637,0.47393635
0.5415378,0.45846215
0.55184007,0.44815993
0.49433944,0.50566053
0.5091775,0.4908225
0.49444187,0.5055581
0.4813587,0.51864135
0.4944486,0.50555146
0.48139855,0.5186015
0.49435008,0.5056499
0.5091787,0.49082127
0.52442664,0.47557336
0.5376288,0.4623711
0.5469392,0.45306084
0.553724,0.44627598
0.56154037,0.43845966
0.5573029,0.44269717
0.5653325,0.43466756
0.57236385,0.4276361
0.4923748,0.50762516
0.48102948,0.5189705
0.49263227,0.5073678
0.50750536,0.49249458
0.5235598,0.47644022
0.53732187,0.46267816
0.5245816,0.4754184
0.50949293,0.49050704
0.52652556,0.4734745
0.511337,0.488663
0.4980992,0.5019008
0.48391527,0.5160848
0.48210344,0.5178966
0.48567215,0.5143278
0.5014389,0.49856108
0.48720685,0.5127931
0.50287354,0.49712646
0.5186629,0.48133704
0.5047151,0.49528491
0.49110675,0.5088932
0.48437497,0.51562506
0.48716584,0.5128342
0.48530203,0.51469797
0.48754555,0.5124544
0.48932013,0.5106799
0.4882343,0.51176566
0.4865738,0.5134262
0.48881084,0.51118916
0.49268067,0.5073194
0.48974016,0.51025987
0.48656064,0.51343936
0.49729744,0.50270253
0.48689735,0.51310265
0.49107817,0.5089218
0.48724487,0.51275516
0.49192065,0.50807935
0.48753682,0.51246315
0.49276194,0.5072381
0.48775685,0.5122431
0.4936429,0.50635713
0.50139755,0.49860248
0.49481964,0.5051803
0.50371563,0.49628434
0.49595642,0.5040436
0.5060579,0.49394214
0.5086828,0.4913172
0.5087779,0.49122208
0.51247364,0.48752636
0.52041847,0.47958153
0.51726425,0.48273578
0.5141303,0.4858697
0.49536437,0.5046356
0.509847,0.490153
0.5241938,0.4758062
0.53721,0.46279
0.5465812,0.4534188
0.55327,0.44673002
0.54859185,0.45140815
0.5554282,0.44457176
0.5629572,0.43704277
0.5585107,0.4414893
0.5538871,0.44611293
